,Native; born outside the United States:,Never married,"Now married, except separated",Divorced,Separated,Widowed
2017,4450037,0.3681326694587034,0.44026982247563334,0.11829856695573543,0.02800156493080844,0.04529737617911941
2016,4327192,0.36742349311054373,0.43703399340727195,0.11870584896625802,0.0278212753212707,0.04901538919465556
2015,4227064,0.36867338653968806,0.43355671927370865,0.12336671505328521,0.028813616259417883,0.04558956287390018
2014,4116211,0.36597079207066885,0.43806865099966935,0.11968264017563726,0.029376773931171166,0.04690114282285335
2013,3996401,0.3573535288375716,0.4419661590516067,0.12276095416851313,0.03150159355880453,0.046417764383504055
2012,3824247,0.34202419456693045,0.45227308800922117,0.12576671956596946,0.03201649893430001,0.04791949892357894
2011,3788359,0.35102718617744516,0.4428796214931056,0.12172843175633566,0.03507349752227812,0.04929126305083547
2010,3687520,0.34529466958823274,0.45284934047815334,0.12080151429687161,0.033294192302685814,0.04776028333405649
2009,3602192,0.3425880685982313,0.45710833847834875,0.11603101666984991,0.03557222935368243,0.04870034689988762
2008,3517007,0.334530468662701,0.46279464328618053,0.1191646761010143,0.03363086851973852,0.04987934343036565
2007,3336829,0.33016945129642544,0.4648575039356227,0.1198491142339029,0.03585050357689891,0.049273426957150035
2006,3284324,0.32543835504657886,0.46692500496296957,0.12100480951331233,0.03813935531330039,0.04849247516383889
2005,3093536,0.29926175095424784,0.4983640080477486,0.11637136273830335,0.03875597374654764,0.04724690451315259
