Id,Id2,state,divorce_rate,unemployment_rate,low_edu_rate,below_poverty_rate
0400000US01,1,Alabama,12.3,7.4,10,18
0400000US02,2,Alaska,11.6,7.7,4.9,10.2
0400000US04,4,Arizona,12.3,7.1,7.6,17
0400000US05,5,Arkansas,13.1,6.3,9.2,18.1
0400000US06,6,California,9.4,7.7,7.8,15.1
0400000US08,8,Colorado,11.9,5.2,5.2,11.5
0400000US09,9,Connecticut,10.6,7.2,5.6,10.1
0400000US10,10,Delaware,11.1,6.4,7.1,12.1
0400000US11,11,District of Columbia,9.1,8,5.8,17.4
0400000US12,12,Florida,12.9,7.2,7.3,15.5
0400000US13,13,Georgia,11.3,7.5,8.7,16.9
0400000US15,15,Hawaii,9.5,4.9,4.6,10.3
0400000US16,16,Idaho,12,5.4,6.1,14.5
0400000US17,17,Illinois,9.7,7.4,6.3,13.5
0400000US18,18,Indiana,12.5,6.1,7.9,14.6
0400000US19,19,Iowa,10.6,4.1,5,12
0400000US20,20,Kansas,11.2,4.8,5.8,12.8
0400000US21,21,Kentucky,13.1,6.8,8.7,18.3
0400000US22,22,Louisiana,11.9,7.2,10.3,19.6
0400000US23,23,Maine,13.9,5.3,5.1,12.9
0400000US24,24,Maryland,9.9,6.1,6.1,9.7
0400000US25,25,Massachusetts,9.4,6,5.1,11.1
0400000US26,26,Michigan,11.5,7.4,6.7,15.6
0400000US27,27,Minnesota,10,4.3,4.2,10.5
0400000US28,28,Mississippi,11.7,8.8,11,21.5
0400000US29,29,Missouri,12.1,5.8,7.4,14.6
0400000US30,30,Montana,12.4,4.8,5,14.4
0400000US31,31,Nebraska,10.3,3.8,5,12
0400000US32,32,Nevada,13.9,8,8.3,14.2
0400000US33,33,New Hampshire,11.9,4.5,4.9,8.1
0400000US34,34,New Jersey,8.5,7,5.7,10.7
0400000US35,35,New Mexico,12.8,7.7,8.5,20.6
0400000US36,36,New York,8.7,6.8,7.4,15.1
0400000US37,37,North Carolina,10.7,7.2,8.2,16.1
0400000US38,38,North Dakota,9.4,2.7,4.4,11
0400000US39,39,Ohio,11.9,6.5,7.3,14.9
0400000US40,40,Oklahoma,13.2,5.7,8.3,16.2
0400000US41,41,Oregon,12.9,6.8,6,14.9
0400000US42,42,Pennsylvania,9.6,6.5,6.8,13.1
0400000US44,44,Rhode Island,11.1,6.8,7.2,13.4
0400000US45,45,South Carolina,10.8,7.2,9,16.6
0400000US46,46,South Dakota,10.5,3.7,5.2,13.9
0400000US47,47,Tennessee,12.4,6.6,8.4,16.7
0400000US48,48,Texas,10.7,5.8,8.5,16
0400000US49,49,Utah,9.1,4.4,5.4,11
0400000US50,50,Vermont,12.5,4.4,5.2,11.4
0400000US51,51,Virginia,10.1,5.5,6.5,11.2
0400000US53,53,Washington,11.8,6,5.3,12.2
0400000US54,54,West Virginia,13.2,7.2,9.4,17.8
0400000US55,55,Wisconsin,10.7,4.7,5.5,12.3
0400000US56,56,Wyoming,12.7,4.7,5.4,11.1
0400000US72,72,Puerto Rico,13.8,17.5,9,44.9
