,PINCP,MAR
615187,800.0,5
572655,28400.0,1
855751,280700.0,1
103360,19200.0,1
839467,38000.0,5
1455436,12000.0,5
375097,121000.0,3
520718,1500.0,1
21881,106000.0,5
744193,126000.0,1
607631,48000.0,1
1110256,6000.0,5
105069,1100.0,5
307441,165000.0,1
888499,134600.0,1
153764,70120.0,1
748842,68000.0,5
650061,17950.0,1
672246,90000.0,1
1173665,22000.0,1
31180,31160.0,1
649822,200020.0,1
1362136,6000.0,1
443727,20400.0,1
744249,40000.0,5
913600,111000.0,1
223606,31500.0,3
1149651,30000.0,1
361704,70000.0,5
58908,5400.0,5
221297,18400.0,5
1143210,65000.0,1
1541900,30000.0,1
445239,39500.0,1
614864,30000.0,5
628623,52000.0,5
1313214,20000.0,1
273294,80000.0,1
535405,21000.0,5
351650,3600.0,5
1159087,6400.0,1
374858,14300.0,3
1324872,76000.0,1
1067161,70000.0,1
1275495,52000.0,1
103552,50000.0,1
126453,8100.0,1
1476350,22300.0,2
955819,60000.0,1
388493,1000.0,5
1513332,25000.0,1
710970,35640.0,5
642655,133600.0,1
81681,27000.0,2
328181,31000.0,1
1024732,12900.0,1
785486,11400.0,3
105374,30000.0,1
829042,68000.0,5
196462,10500.0,1
404964,60200.0,3
890787,3800.0,1
1484637,68400.0,3
479336,11200.0,1
687619,12300.0,3
1112266,6900.0,1
1210319,463200.0,1
705427,35000.0,2
1130575,120000.0,5
547647,1000.0,5
319175,70000.0,1
408217,15300.0,2
698909,6700.0,1
229237,31000.0,5
1026489,30000.0,3
1477078,175000.0,1
5201,9600.0,1
1471887,2670.0,1
129174,11700.0,3
1491677,150000.0,1
310988,17800.0,4
1039435,24000.0,1
874336,100000.0,1
892093,40000.0,3
652322,35000.0,5
1108944,160000.0,3
1365599,23900.0,1
408059,44000.0,1
1115144,32000.0,1
1296816,40000.0,3
1282002,50000.0,3
474241,-1300.0,1
836663,39000.0,5
786233,87000.0,1
1397922,180000.0,3
742343,11900.0,5
317843,3000.0,5
944069,72000.0,3
587231,22000.0,5
784205,25000.0,1
327065,10000.0,2
86033,151800.0,2
197798,98010.0,1
1538077,110000.0,1
736816,509000.0,1
658078,2500.0,5
690193,50000.0,1
1494551,76000.0,1
661845,3400.0,5
1445890,30000.0,1
952146,400.0,5
116175,9400.0,3
1267787,3000.0,5
1368750,30000.0,5
1371433,14000.0,1
233766,14000.0,2
2203,5110.0,1
1141919,1500.0,5
785752,10000.0,4
1338362,27400.0,1
1274660,100000.0,1
1417471,50000.0,1
893329,25500.0,1
492891,7200.0,1
123575,26000.0,1
774409,33500.0,1
733361,35000.0,1
939222,13400.0,2
792089,22200.0,2
342886,28000.0,1
620898,23500.0,2
811763,14000.0,4
126774,10000.0,5
51283,45000.0,5
1239112,22500.0,1
330024,57000.0,1
468879,18000.0,5
1220287,43200.0,1
988482,12500.0,5
203842,51000.0,1
215445,30000.0,1
446931,29000.0,1
358729,5000.0,1
409121,9000.0,1
1313642,23000.0,5
263821,45400.0,1
1074368,23550.0,3
585219,50000.0,1
789081,20600.0,1
79233,25000.0,5
1190632,218020.0,3
110407,50000.0,1
335284,41200.0,1
1256543,19000.0,1
474345,1500.0,5
713633,37000.0,1
787685,247900.0,2
824208,26500.0,1
1310098,8400.0,1
634338,36700.0,1
1039108,22600.0,1
984927,41000.0,5
1453933,20600.0,1
968539,16000.0,5
265865,80180.0,1
517016,56000.0,4
1343336,46600.0,1
1298566,32000.0,4
1241603,97000.0,1
1219278,75000.0,1
71374,60000.0,3
988484,15000.0,3
597096,46000.0,1
1260731,75000.0,1
1426841,242000.0,1
1224635,178000.0,1
814966,15000.0,1
901758,56000.0,1
570787,3000.0,5
1188635,50000.0,1
248984,42600.0,1
907992,33020.0,3
1028421,63000.0,1
268942,33000.0,1
675238,1100.0,3
1277830,10600.0,1
803569,43000.0,3
871866,16700.0,3
996340,15000.0,3
445088,1600.0,1
1158903,20700.0,5
682557,30000.0,5
222989,115000.0,1
547512,48000.0,1
379821,50000.0,1
1506764,40000.0,1
148048,52500.0,1
627687,17000.0,1
376228,70000.0,1
611224,58000.0,1
800755,58000.0,1
1495999,15000.0,1
1460994,25000.0,3
130280,37040.0,1
910368,87000.0,1
476,49840.0,3
1514150,214500.0,2
184978,25300.0,1
1442275,24000.0,5
328369,152600.0,1
1330661,70000.0,5
947188,42500.0,5
